School,G,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Santa Clara,33,2204,2158,778,1784,.436,318,832,.382,330,451,.732,203,980,464,170,65,341,617
Savannah State,29,2485,2665,833,2030,.410,392,1182,.332,427,659,.648,358,1169,501,226,94,431,571
Seattle,30,2091,2141,713,1646,.433,260,756,.344,405,573,.707,223,1011,476,199,62,436,568
Seton Hall ,33,2417,2323,872,1949,.447,202,598,.338,471,733,.643,439,1311,405,228,82,449,613
Siena,34,2549,2541,899,1989,.452,186,568,.327,565,795,.711,430,1284,460,199,140,476,664
South Alabama,32,2286,2322,793,1859,.427,223,702,.318,475,725,.655,333,1108,408,240,119,419,653
South Carolina State,31,2167,2486,796,1849,.431,185,578,.320,390,564,.691,320,991,380,154,64,383,594
South Carolina Upstate,33,2575,2530,936,2042,.458,284,821,.346,419,638,.657,396,1279,508,179,104,421,545
South Carolina ,37,2707,2414,924,2197,.421,248,733,.338,611,874,.699,464,1346,468,288,142,480,751
South Dakota State ,35,2683,2697,881,1938,.455,318,883,.360,603,782,.771,316,1229,459,180,83,453,584
South Dakota,34,2639,2513,907,2044,.444,224,657,.341,601,852,.705,355,1268,415,231,115,402,657
South Florida,30,1945,2235,716,1684,.425,174,503,.346,339,516,.657,328,1053,365,183,115,489,579
Southeast Missouri State,33,2460,2464,852,1897,.449,263,716,.367,493,664,.742,289,1024,454,248,63,410,644
Southeastern Louisiana,32,2268,2182,796,1770,.450,215,593,.363,461,675,.683,384,1154,455,218,106,512,619
Southern California ,36,2816,2633,975,2139,.456,283,782,.362,583,787,.741,387,1286,550,252,190,398,571
SIU Edwardsville,30,2044,2282,687,1686,.407,142,486,.292,528,780,.677,353,1073,305,142,85,436,657
Southern Illinois,33,2260,2289,808,1866,.433,175,554,.316,469,674,.696,348,1114,375,225,128,398,594
Southern Methodist ,35,2599,2100,914,1934,.473,286,705,.406,485,696,.697,416,1335,566,200,117,377,506
Southern Mississippi,31,1952,2239,690,1728,.399,200,655,.305,372,526,.707,258,1058,376,145,64,405,527
Southern Utah,33,2559,2814,815,2004,.407,291,815,.357,638,861,.741,383,1218,381,185,107,452,803
Southern,33,2360,2401,825,1887,.437,163,510,.320,547,786,.696,405,1247,384,184,121,453,635
St. Bonaventure,32,2459,2316,825,1864,.443,201,577,.348,608,791,.769,369,1153,423,230,138,401,668
St. Francis (NY),31,1921,2284,650,1871,.347,221,792,.279,400,616,.649,390,1078,287,208,89,379,672
St. John's (NY),33,2534,2598,866,2000,.433,278,763,.364,524,722,.726,337,1137,446,224,197,433,688
Stanford,31,2162,2204,772,1753,.440,157,490,.320,461,676,.682,316,1067,421,211,79,399,604
Stephen F. Austin,33,2289,2271,783,1754,.446,193,605,.319,530,735,.721,378,1147,409,223,100,578,716
Stetson,32,2471,2654,886,2007,.441,261,770,.339,438,665,.659,274,1128,436,155,71,362,608
Stony Brook,32,2215,2204,759,1878,.404,250,764,.327,445,617,.721,358,1108,391,174,102,325,622
Syracuse,34,2594,2416,894,1950,.458,300,791,.379,506,685,.739,363,1183,532,275,159,418,542
Temple,32,2269,2277,808,1916,.422,287,807,.356,366,506,.723,320,1096,464,208,128,365,584
Tennessee-Martin,35,2693,2630,966,2066,.468,287,812,.353,474,689,.688,453,1312,555,228,123,528,606
Tennessee State,30,2134,2032,744,1680,.443,170,502,.339,476,688,.692,366,1117,339,201,102,452,633
